Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Milwaukee Bucks,108,Philadelphia 76ers,120,Home,1982,Philadelphia 76ers
San Antonio Spurs,99,Seattle SuperSonics,114,Home,1982,Seattle SuperSonics
Los Angeles Lakers,114,Phoenix Suns,106,Away,1982,Los Angeles Lakers
Seattle SuperSonics,97,San Antonio Spurs,99,Home,1982,San Antonio Spurs
Philadelphia 76ers,91,Milwaukee Bucks,92,Home,1982,Milwaukee Bucks
Boston Celtics,92,Washington Bullets,83,Away,1982,Boston Celtics
Boston Celtics,103,Washington Bullets,99,Away,1982,Boston Celtics
Los Angeles Lakers,112,Phoenix Suns,107,Away,1982,Los Angeles Lakers
Philadelphia 76ers,100,Milwaukee Bucks,93,Away,1982,Philadelphia 76ers
Seattle SuperSonics,113,San Antonio Spurs,115,Home,1982,San Antonio Spurs
Washington Bullets,126,Boston Celtics,131,Home,1982,Boston Celtics
Milwaukee Bucks,110,Philadelphia 76ers,98,Away,1982,Milwaukee Bucks
San Antonio Spurs,109,Seattle SuperSonics,103,Away,1982,San Antonio Spurs
Philadelphia 76ers,102,Milwaukee Bucks,90,Away,1982,Philadelphia 76ers
Philadelphia 76ers,81,Boston Celtics,121,Home,1982,Boston Celtics
San Antonio Spurs,117,Los Angeles Lakers,128,Home,1982,Los Angeles Lakers
San Antonio Spurs,101,Los Angeles Lakers,110,Home,1982,Los Angeles Lakers
Philadelphia 76ers,121,Boston Celtics,113,Away,1982,Philadelphia 76ers
Los Angeles Lakers,118,San Antonio Spurs,108,Away,1982,Los Angeles Lakers
Boston Celtics,97,Philadelphia 76ers,99,Home,1982,Philadelphia 76ers
Los Angeles Lakers,128,San Antonio Spurs,123,Away,1982,Los Angeles Lakers
Boston Celtics,94,Philadelphia 76ers,119,Home,1982,Philadelphia 76ers
Philadelphia 76ers,85,Boston Celtics,114,Home,1982,Boston Celtics
Boston Celtics,88,Philadelphia 76ers,75,Away,1982,Boston Celtics
Philadelphia 76ers,120,Boston Celtics,106,Away,1982,Philadelphia 76ers
Los Angeles Lakers,124,Philadelphia 76ers,117,Away,1982,Los Angeles Lakers
Los Angeles Lakers,94,Philadelphia 76ers,110,Home,1982,Philadelphia 76ers
Philadelphia 76ers,108,Los Angeles Lakers,129,Home,1982,Los Angeles Lakers
Philadelphia 76ers,101,Los Angeles Lakers,111,Home,1982,Los Angeles Lakers
Los Angeles Lakers,102,Philadelphia 76ers,135,Home,1982,Philadelphia 76ers
Philadelphia 76ers,104,Los Angeles Lakers,114,Home,1982,Los Angeles Lakers
Denver Nuggets,108,Phoenix Suns,121,Home,1983,Phoenix Suns
Atlanta Hawks,95,Boston Celtics,103,Home,1983,Boston Celtics
Portland Trail Blazers,108,Seattle SuperSonics,97,Away,1983,Portland Trail Blazers
New York Knicks,118,New Jersey Nets,107,Away,1983,New York Knicks
Phoenix Suns,99,Denver Nuggets,113,Home,1983,Denver Nuggets
New Jersey Nets,99,New York Knicks,105,Home,1983,New York Knicks
Boston Celtics,93,Atlanta Hawks,95,Home,1983,Atlanta Hawks
Seattle SuperSonics,96,Portland Trail Blazers,105,Home,1983,Portland Trail Blazers
Denver Nuggets,117,Phoenix Suns,112,Away,1983,Denver Nuggets
New York Knicks,102,Philadelphia 76ers,112,Home,1983,Philadelphia 76ers
Portland Trail Blazers,97,Los Angeles Lakers,118,Home,1983,Los Angeles Lakers
Atlanta Hawks,79,Boston Celtics,98,Home,1983,Boston Celtics
